                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5789,                 1.6813,                  2.008,                 1.5134,                 1.9759,                 1.9007,                0.48336,                0.53355,                0.51041,                 0.2505,                 1.5821,                 1.6605,                   2.17,                 1.6172,                 2.0168,                 2.1457,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.5208,                 1.6181,                 1.9439,                 1.4643,                 1.9155,                 1.8546,                0.58091,                 0.5867,                0.56389,                0.29896,                 1.5724,                 1.6912,                 2.1311,                 1.5429,                 2.0493,                 2.0889,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.5807,                 1.6791,                 1.9844,                  1.504,                  1.984,                 1.8738,                0.56071,                0.53301,                0.52983,                 0.2478,                 1.6198,                 1.8679,                  2.166,                 1.6698,                 1.9774,                 2.2254,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.5072,                 1.6631,                 1.9389,                 1.4453,                 1.9473,                 1.8414,                 0.5346,                0.63745,                0.56933,                0.30804,                 1.5564,                 1.4776,                 2.1463,                 1.4155,                 1.8558,                  2.095,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.4812,                 1.6081,                 1.9247,                 1.4398,                 1.8851,                 1.8425,                0.60335,                0.64827,                0.67939,                 0.3726,                 1.4785,                  1.342,                 2.0635,                 1.5125,                 1.5455,                 2.1098,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.5133,                 1.6112,                 1.9442,                 1.4697,                 1.9027,                 1.8542,                 0.5727,                0.58929,                 0.6225,                0.38374,                 1.5143,                 1.3101,                 2.0508,                 1.3977,                 1.6336,                 1.9681,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.5617,                 1.6075,                  1.964,                   1.47,                  1.922,                 1.8489,                0.49588,                0.48423,                0.52467,                0.28259,                 1.6085,                 1.6015,                 2.1816,                 1.4958,                 1.8899,                 2.0576,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.5111,                 1.5608,                 1.9173,                 1.4454,                  1.884,                 1.8226,                0.49396,                 0.5184,                0.49811,                0.22512,                 1.6946,                 1.7727,                 2.1904,                 1.7251,                 2.0128,                 2.2054,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.5031,                 1.5941,                 1.9253,                   1.48,                 1.8776,                 1.8718,                0.52021,                0.53722,                0.56288,                0.29653,                 1.6737,                 1.5906,                 2.1625,                 1.6066,                 1.9818,                 2.1088,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.4458,                 1.5377,                 1.8973,                 1.3887,                 1.8344,                  1.812,                 0.5718,                0.55682,                0.58016,                0.32504,                 1.5016,                 1.5077,                 1.9941,                 1.4962,                 1.7619,                 2.0004,              0.0012379,              0.0012379,              0.0012379
